subject,object,predicate
Shell Canada,business,IS_A
Shell Canada,petroleum industry,IN_INDUSTRY
Unocal Corporation,business,IS_A
Unocal Corporation,petroleum industry,IN_INDUSTRY
KazMunayGas,business,IS_A
KazMunayGas,enterprise,IS_A
KazMunayGas,petroleum industry,IN_INDUSTRY
KazMunayGas,joint-stock company,IS_A
Sunoco,business,IS_A
Sunoco,enterprise,IS_A
Sunoco,petroleum industry,IN_INDUSTRY
Sunoco,joint-stock company,IS_A
Schlumberger,business,IS_A
Schlumberger,enterprise,IS_A
Schlumberger,petroleum industry,IN_INDUSTRY
Schlumberger,Naamloze vennootschap,IS_A
Schlumberger,public company,IS_A
Schlumberger,New York Stock Exchange,TRADES_ON
Oil and Natural Gas Corporation,business,IS_A
Oil and Natural Gas Corporation,enterprise,IS_A
Oil and Natural Gas Corporation,petroleum industry,IN_INDUSTRY
